Číslo přejezdu železniční	Název definičního úseku 	Žkm přejezdu	Přejezd s trolejovým vedením	Třída pozemní komunikace	Číslo pozemní komunikace	Místní název přejezdu	Zeměpisná šířka	Zeměpisná délka
P7684	vl. SHR Staré Město - Světlá Hora	4,478	Ne	II.	452	zn. Staré Město	50° 00' 38.36127'' N	17° 25' 39.68018'' E
P7685	vl. SHR Staré Město - Světlá Hora	6,016	Ne	O			50° 01' 10.44814'' N	17° 24' 51.28897'' E
P7686	vl. SHR Staré Město - Světlá Hora	8,479	Ne	C			50° 02' 12.39956'' N	17° 24' 04.21550'' E
P7687	vl. SHR Staré Město - Světlá Hora	8,563	Ne	III.	45210		50° 02' 14.91996'' N	17° 24' 02.92525'' E
P7688	vl. SHR Staré Město - Světlá Hora	9,144	Ne	O			50° 02' 33.04800'' N	17° 24' 00.58498'' E
P7689	vl. SHR Staré Město - Světlá Hora	9,493	Ne	O		Světlá Hora zn.	50° 02' 36.52002'' N	17° 23' 45.97148'' E
P7690	Světlá Hora - Malá Morávka	10,052	Ne	O			50° 02' 30.16103'' N	17° 23' 19.82015'' E
P7691	Světlá Hora - Malá Morávka	10,986	Ne	II.	450		50° 02' 15.19070'' N	17° 22' 43.46582'' E
P7692	Světlá Hora - Malá Morávka	11,795	Ne	O			50° 02' 01.97258'' N	17° 22' 18.96748'' E
P7693	Světlá Hora - Malá Morávka	12,91	Ne	O			50° 01' 53.68589'' N	17° 21' 29.59113'' E
P7694	Světlá Hora - Malá Morávka	13,682	Ne	O			50° 01' 39.48526'' N	17° 20' 58.88975'' E
P7695	Světlá Hora - Malá Morávka	14,683	Ne	III.	44515		50° 01' 22.32420'' N	17° 20' 17.94350'' E
P7696	Světlá Hora - Malá Morávka	15,443	Ne	O			50° 01' 14.59731'' N	17° 19' 50.95765'' E
P7697	Světlá Hora - Malá Morávka	16,791	Ne	O			50° 00' 44.90813'' N	17° 19' 03.35988'' E
P7698	Milotice n.Op. - hranice údržby SŽDC-AWT	0,301	Ne	III.	4582		50° 00' 47.00677'' N	17° 33' 13.89759'' E
P7699	hranice TO - Kunov	0,696	Ne	III.	4581		50° 00' 36.94398'' N	17° 33' 04.64246'' E
P7700	hranice TO - Kunov	1,07	Ne	2L			50° 00' 33.05222'' N	17° 32' 50.53862'' E
P7701	hranice TO - Kunov	1,565	Ne	2L			50° 00' 48.60537'' N	17° 32' 46.51711'' E
P7703	hranice TO - Kunov	3,595	Ne	II.	451		50° 01' 31.83748'' N	17° 31' 34.64989'' E
P7704	hranice TO - Kunov	4,892	Ne	III.	4514		50° 02' 06.60559'' N	17° 31' 03.78478'' E
P7705	Kunov - Široká Niva	5,229	Ne	O		zn. Kunov	50° 02' 16.24465'' N	17° 30' 56.14000'' E
P7706	Kunov - Široká Niva	5,467	Ne	O		k léčebně	50° 02' 23.15986'' N	17° 30' 50.71768'' E
P7707	Kunov - Široká Niva	6,832	Ne	III.	4514		50° 02' 44.11298'' N	17° 29' 52.10749'' E
P7708	Kunov - Široká Niva	7,358	Ne	O		polní	50° 02' 54.34890'' N	17° 29' 29.97739'' E
P7709	Kunov - Široká Niva	8,061	Ne	C			50° 03' 07.92461'' N	17° 29' 03.00181'' E
P7710	Kunov - Široká Niva	8,63	Ne	O			50° 03' 22.62081'' N	17° 28' 46.76233'' E
P7711	Kunov - Široká Niva	9,203	Ne	MK		přechod pro pěší - lávka	50° 03' 37.52041'' N	17° 28' 34.32805'' E
P7712	Kunov - Široká Niva	9,592	Ne	III.	5413		50° 03' 49.24979'' N	17° 28' 31.05471'' E
P7713	Široká Niva - Karlovice	10,362	Ne	O		za zast. Š. Niva	50° 04' 09.34150'' N	17° 28' 10.61461'' E
P7716	Široká Niva - Karlovice	12,083	Ne	MK		přechod pro pěší Pocheň	50° 04' 29.99085'' N	17° 26' 53.34888'' E
P7717	Široká Niva - Karlovice	13,65	Ne	3L			50° 05' 04.30502'' N	17° 26' 26.40376'' E
P7718	Široká Niva - Karlovice	14,756	Ne	3L			50° 05' 34.17509'' N	17° 26' 51.77255'' E
P7719	Karlovice - Vrbno p.Prad.	16,807	Ne	II.	451		50° 06' 24.00720'' N	17° 26' 03.06404'' E
P7720	Karlovice - Vrbno p.Prad.	17,296	Ne	MK			50° 06' 27.30911'' N	17° 25' 39.91572'' E
P7721	Karlovice - Vrbno p.Prad.	19,072	Ne	O			50° 06' 42.50459'' N	17° 24' 14.84792'' E
P7722	Karlovice - Vrbno p.Prad.	19,762	Ne	MK			50° 06' 54.54222'' N	17° 23' 46.42489'' E
P7724	Ostrava-Svinov - Ostrava-Třebovice	263,911	Ano	C		ul. 5.května O. Třebovice	49° 50' 11.27030'' N	18° 11' 58.24453'' E
P7725	Ostrava-Třebovice - Děhylov	265,098	Ano	O		Martinov k zahrádkám dvoukolejný	49° 50' 47.76581'' N	18° 11' 42.83974'' E
P7725		0,677	ne	III		ul. U opavice (místní kom.)	49° 50' 47.77'' N	18° 11' 42.39'' E
P7726	Ostrava-Třebovice - Děhylov	266,178	Ano	O		Martinov k zahrádkám jednokolejn	49° 51' 22.60324'' N	18° 11' 40.71810'' E
P7727	Ostrava-Třebovice - Děhylov	268,011	Ano	O		Kawulok	49° 52' 13.68059'' N	18° 10' 58.10951'' E
P7728	žst. Děhylov	268,579	Ano	O		Děhylov tříkolejný	49° 52' 28.34373'' N	18° 10' 41.00247'' E
P7729	Děhylov - Háj ve Slezsku	269,423	Ano	II.	469	Děhylov zn.	49° 52' 50.16683'' N	18° 10' 15.48532'' E
P7730	Děhylov - Háj ve Slezsku	270,159	Ano	O		do rokle	49° 53' 08.18690'' N	18° 09' 51.68256'' E
P7731	Děhylov - Háj ve Slezsku	270,899	Ano	O		zahrad. osada Rybárna	49° 53' 18.55521'' N	18° 09' 18.40046'' E
P7732	Děhylov - Háj ve Slezsku	274,351	Ano	O		polní před Chabičovem	49° 53' 59.88256'' N	18° 06' 53.97319'' E
P7733	Děhylov - Háj ve Slezsku	274,992	Ano	C		Ulice Mlýnská Háj	49° 54' 01.76914'' N	18° 06' 22.02540'' E
P7734	Děhylov - Háj ve Slezsku	275,265	Ano	V		Ulice Polní Háj	49° 54' 02.58439'' N	18° 06' 08.38257'' E
P7735	Háj ve Slezsku - Štítina	276,331	Ano	III.	4676	z Háje na Benešov	49° 54' 05.72448'' N	18° 05' 15.18422'' E
P7736	Háj ve Slezsku - Štítina	278,748	Ano	O		polní před Lhotou	49° 54' 20.96562'' N	18° 03' 24.48038'' E
P7737	Háj ve Slezsku - Štítina	279,228	Ano	III.	4674	Ulice Mlýnská Lhota	49° 54' 24.26412'' N	18° 03' 00.98464'' E
P7738	Háj ve Slezsku - Štítina	279,484	Ano	III.	4674	Ulice Komenského Lhota	49° 54' 26.01496'' N	18° 02' 48.46772'' E
P7739	Háj ve Slezsku - Štítina	280,442	Ano	C		polní před M. Lazcema	49° 54' 32.58306'' N	18° 02' 01.62688'' E
P7740	Háj ve Slezsku - Štítina	280,663	Ano	MK		přechod pro pěší a cyklisty	49° 54' 34.10172'' N	18° 01' 50.75066'' E
P7741	Háj ve Slezsku - Štítina	281,504	Ano	III.	4673	ul.Palackého Štítina	49° 54' 39.88115'' N	18° 01' 09.49829'' E
P7742	Háj ve Slezsku - Štítina	281,837	Ano	C		Ulice Na Nivě Štítina hřbitov	49° 54' 42.15991'' N	18° 00' 53.23246'' E
P7743	žst. Štítina	282,28	Ano	II.	467	Ul.Hlavní - Štítina žst.	49° 54' 45.19633'' N	18° 00' 31.52740'' E
P7744	Štítina - Opava-Komárov	284,986	Ano	C		Komárov do Tevy	49° 55' 03.71248'' N	17° 58' 18.97225'' E
P7745	žst. Opava-Komárov	285,692	Ano	I.	11	Ulice Ostravská Komárov	49° 55' 05.29229'' N	17° 57' 44.07670'' E
P7746	Krnov - Skrochovice	88,409	Ne	C		nemocnice, k úpravně vody	50° 05' 53.66477'' N	17° 41' 19.47479'' E
P7747	Krnov - Skrochovice	88,822	Ne	C		koupaliště	50° 05' 48.32739'' N	17° 41' 38.79607'' E
P7748	Krnov - Skrochovice	89,164	Ne	I.	45	Ulice Petrovická Krnov	50° 05' 44.78297'' N	17° 41' 54.97543'' E
P7749	Krnov - Skrochovice	89,457	Ne	C		Ulice Hřbitovní Krnov	50° 05' 43.77658'' N	17° 42' 10.12849'' E
P7750	Krnov - Skrochovice	90,143	Ne	B		Ulice Hlubčická Krnov Cvilín	50° 05' 39.23208'' N	17° 42' 43.22646'' E
P7751	Krnov - Skrochovice	90,89	Ne	C			50° 05' 23.87604'' N	17° 43' 12.23055'' E
P7752	Krnov - Skrochovice	91,493	Ne	C		Ulice K Řempu Krnov	50° 05' 11.08799'' N	17° 43' 35.30074'' E
P7753	Krnov - Skrochovice	91,724	Ne	C		Ulice Bližčická Krnov	50° 05' 06.24531'' N	17° 43' 43.98322'' E
P7754	Krnov - Skrochovice	92,252	Ne	O		Krnov ČOV	50° 04' 51.95508'' N	17° 43' 58.27477'' E
P7755	Krnov - Skrochovice	93,132	Ne	O		Balaton-závora	50° 04' 25.96406'' N	17° 44' 16.37607'' E
P7756	Krnov - Skrochovice	93,995	Ne	O		Červený dvůr	50° 04' 00.53727'' N	17° 44' 34.13799'' E
P7757	Krnov - Skrochovice	96,165	Ne	III.	4593	zn.Úvalno	50° 02' 56.35483'' N	17° 45' 18.88620'' E
P7758	Krnov - Skrochovice	98,629	Ne	V			50° 01' 43.54406'' N	17° 46' 09.43363'' E
P7759	Skrochovice - vl. Cukrovar	100,715	Ne	C		ul. Hraniční Skrochovice	50° 00' 46.07964'' N	17° 47' 02.32793'' E
P7760	Skrochovice - vl. Cukrovar	101,023	Ne	MK		Rychvalský	50° 00' 39.50227'' N	17° 47' 12.50067'' E
P7761	Skrochovice - vl. Cukrovar	101,596	Ne	O			50° 00' 26.40081'' N	17° 47' 34.29866'' E
P7762	Skrochovice - vl. Cukrovar	102,683	Ne	III.	576	Holasovice zn.	50° 00' 02.10987'' N	17° 48' 12.92177'' E
P7763	Skrochovice - vl. Cukrovar	103,318	Ne	MK		Přechod pro pěší	49° 59' 47.45832'' N	17° 48' 34.93154'' E
P7764	Skrochovice - vl. Cukrovar	103,577	Ne	III.	576		49° 59' 42.69870'' N	17° 48' 45.64431'' E
P7765	Skrochovice - vl. Cukrovar	104,592	Ne	O		u třešně	49° 59' 24.02619'' N	17° 49' 27.58000'' E
P7766	Skrochovice - vl. Cukrovar	105,664	Ne	III.	5712		49° 59' 01.31119'' N	17° 50' 08.26654'' E
P7767	Skrochovice - vl. Cukrovar	107,573	Ne	III.	578	Ulice k Celnici Vávrovice zn.	49° 58' 30.94191'' N	17° 51' 28.93277'' E
P7768	Skrochovice - vl. Cukrovar	108,133	Ne	B		Ulice Obecní Vávrovice	49° 58' 15.02644'' N	17° 51' 41.77022'' E
P7769	vl. Cukrovar - Opava západ	110,253	Ne	III.	1130	Ulice Palhanecká Opava	49° 57' 11.29074'' N	17° 52' 20.31315'' E
P7770	vl. Cukrovar - Opava západ	110,525	Ne	I.	11	Ulice Krnovská Opava	49° 57' 02.80013'' N	17° 52' 25.14011'' E
P7771	vl. Cukrovar - Opava západ	111,612	Ne	B		Ulice Vančurova Opava	49° 56' 37.87825'' N	17° 52' 56.71319'' E
P7772	žst. Opava západ - Otická	113,113	Ne	III.	4611	Ulice Otická Opava	49° 55' 58.56726'' N	17° 53' 41.73411'' E
P7773	km 87,847 DÚ 2253 14 - Krásné Loučky	0,707	Ne	C		Ulice Chomýžská Krnov	50° 06' 00.38963'' N	17° 40' 37.36159'' E
P7774	km 87,847 DÚ 2253 14 - Krásné Loučky	1,707	Ne	C		Ulice Okružní Krnov Chomýž	50° 06' 17.19350'' N	17° 39' 54.27746'' E
P7775	km 87,847 DÚ 2253 14 - Krásné Loučky	2,048	Ne	O			50° 06' 21.34663'' N	17° 39' 38.55904'' E
P7776	km 87,847 DÚ 2253 14 - Krásné Loučky	2,91	Ne	O			50° 06' 32.76461'' N	17° 38' 59.48686'' E
P7777	km 87,847 DÚ 2253 14 - Krásné Loučky	3,09	Ne	C		Ulice Okružní Chomýž	50° 06' 37.66799'' N	17° 38' 54.57353'' E
P7778	km 87,847 DÚ 2253 14 - Krásné Loučky	3,475	Ne	O			50° 06' 48.81310'' N	17° 38' 45.91478'' E
P7780	km 87,847 DÚ 2253 14 - Krásné Loučky	3,915	Ne	O			50° 07' 01.66449'' N	17° 38' 36.44872'' E
P7781	km 87,847 DÚ 2253 14 - Krásné Loučky	4,373	Ne	O			50° 07' 15.70648'' N	17° 38' 28.93007'' E
P7782	km 87,847 DÚ 2253 14 - Krásné Loučky	4,732	Ne	MK		PZS před K. Loučkama	50° 07' 26.46737'' N	17° 38' 23.05440'' E
P7783	km 87,847 DÚ 2253 14 - Krásné Loučky	4,903	Ne	O		Krásné Loučky zn.	50° 07' 31.20615'' N	17° 38' 18.11209'' E
P7784	Krásné Loučky - Město Albrechtice	5,458	Ne	V			50° 07' 43.69919'' N	17° 37' 57.92361'' E
P7785	Krásné Loučky - Město Albrechtice	6,694	Ne	C		Linhartovy 1	50° 08' 06.60930'' N	17° 37' 08.03167'' E
P7786	Krásné Loučky - Město Albrechtice	7,107	Ne	C		zastávka Linhartovy	50° 08' 11.83291'' N	17° 36' 49.15699'' E
P7787	Krásné Loučky - Město Albrechtice	8,626	Ne	H			50° 08' 41.39677'' N	17° 35' 50.67719'' E
P7788	Krásné Loučky - Město Albrechtice	9,589	Ne	H			50° 09' 06.41815'' N	17° 35' 21.73743'' E
P7789	Krásné Loučky - Město Albrechtice	10,778	Ne	III.	45813	Ulice Opavická M.Albrechtice	50° 09' 39.06983'' N	17° 34' 51.60933'' E
P7790	žst. Město Albrechtice	11,319	Ne	III.	45814	Ulice Osoblažská M.Albrechtice	50° 09' 56.27063'' N	17° 34' 47.95005'' E
P7791	Město Albrechtice - Třemešná ve Sl.	11,891	Ne	I.	57	Ulice Hašlerova M.Albrechtice	50° 10' 13.76944'' N	17° 34' 38.52661'' E
P7792	Město Albrechtice - Třemešná ve Sl.	12,472	Ne	O			50° 10' 31.87309'' N	17° 34' 41.66614'' E
P7793	Město Albrechtice - Třemešná ve Sl.	13,388	Ne	C			50° 11' 00.62933'' N	17° 34' 45.70925'' E
P7794	Město Albrechtice - Třemešná ve Sl.	13,797	Ne	O			50° 11' 13.62800'' N	17° 34' 41.91060'' E
P7795	Město Albrechtice - Třemešná ve Sl.	14,461	Ne	O			50° 11' 34.74516'' N	17° 34' 35.84504'' E
P7796	Třemešná ve Sl. - Jindřichov ve Sl.	15,584	Ne	O			50° 12' 09.43464'' N	17° 34' 19.40914'' E
P7797	Třemešná ve Sl. - Jindřichov ve Sl.	16,142	Ne	O			50° 12' 23.10808'' N	17° 34' 01.12207'' E
P7798	Třemešná ve Sl. - Jindřichov ve Sl.	16,504	Ne	O			50° 12' 31.96708'' N	17° 33' 49.16977'' E
P7799	Třemešná ve Sl. - Jindřichov ve Sl.	17,49	Ne	O			50° 12' 59.72936'' N	17° 33' 27.92244'' E
P7800	Třemešná ve Sl. - Jindřichov ve Sl.	18,185	Ne	O			50° 13' 18.27908'' N	17° 33' 11.78837'' E
P7801	Třemešná ve Sl. - Jindřichov ve Sl.	20,006	Ne	O			50° 14' 14.32942'' N	17° 33' 04.46131'' E
P7802	Třemešná ve Sl. - Jindřichov ve Sl.	21,22	Ne	O			50° 14' 48.76268'' N	17° 32' 38.04318'' E
P7803	žst. Jindřichov ve Sl.	21,336	Ne	O		závory u hradla Jindřichov	50° 14' 50.42295'' N	17° 32' 32.77690'' E
P7804	Jindřichov ve Sl. - Jindřichov ve Sl. st.hr.	24,05	Ne	O			50° 15' 53.37802'' N	17° 31' 12.03384'' E
P7805	Jindřichov ve Sl. - Jindřichov ve Sl. st.hr.	24,88	Ne	O			50° 16' 16.93596'' N	17° 30' 53.34363'' E
P7806	Opava východ - odb. Moravice	1,349	Ne	II.	464	Ulice Bílovecká Opava	49° 55' 36.99971'' N	17° 54' 49.56075'' E
P7807	Opava východ - odb. Moravice	1,724	Ne	B		Ulice Gudrichova Opava	49° 55' 30.64909'' N	17° 54' 33.79073'' E
P7808	Opava východ - odb. Moravice	2,56	Ne	A		Ulice Na Hrázi Opava	49° 55' 20.41051'' N	17° 53' 54.96085'' E
P7809	odb. Moravice - Branka u Op.	2,814	Ne	O			49° 55' 16.59837'' N	17° 53' 43.71898'' E
P7810	odb. Moravice - Branka u Op.	2,848	Ne	I.	57	Ulice Hradecká Opava	49° 55' 15.86288'' N	17° 53' 42.81585'' E
P7812	odb. Moravice - Branka u Op.	4,981	Ne	III.	44346	Rybníčky	49° 54' 11.78587'' N	17° 53' 03.73337'' E
P7813	odb. Moravice - Branka u Op.	5,448	Ne	O		polní Macalka	49° 53' 58.17982'' N	17° 52' 54.53232'' E
P7814	odb. Moravice - Branka u Op.	6,512	Ne	MK		Přechod pro pěší Branka U Op.	49° 53' 25.01677'' N	17° 52' 42.15563'' E
P7815	Branka u Op. - dD3 Hradec nad Moravicí	6,712	Ne	A		ul. Cihelní Branka u Opavy	49° 53' 18.58165'' N	17° 52' 39.94473'' E
P7816	Branka u Op. - dD3 Hradec nad Moravicí	7,238	Ne	O		polní Brano	49° 53' 01.40726'' N	17° 52' 38.04211'' E
P7817	Branka u Op. - dD3 Hradec nad Moravicí	7,481	Ne	C		parkoviště Brano	49° 52' 53.64177'' N	17° 52' 35.86847'' E
P7818	odb. Moravice - Dolní Životice	2,81	Ne	I.	57	Ulice Hradecká Opava	49° 55' 17.39537'' N	17° 53' 43.45573'' E
P7819	odb. Moravice - Dolní Životice	4,087	Ne	III.	4611	Ulice Opavská Otice	49° 55' 07.31024'' N	17° 52' 41.35515'' E
P7820	odb. Moravice - Dolní Životice	4,51	Ne	C		Ulice K Domkům Otice	49° 55' 07.69904'' N	17° 52' 20.36118'' E
P7821	odb. Moravice - Dolní Životice	4,73	Ne	II.	443	Ulice Hlavní Otice zn.	49° 55' 08.63129'' N	17° 52' 09.15578'' E
P7822	odb. Moravice - Dolní Životice	5,645	Ne	II.	461	Ulice Otická Otice/Slavkov	49° 55' 12.04368'' N	17° 51' 23.97458'' E
P7823	odb. Moravice - Dolní Životice	6,393	Ne	C		Ul.Černá cesta Slavkov zn.	49° 54' 59.62213'' N	17° 50' 51.95970'' E
P7824	odb. Moravice - Dolní Životice	7,146	Ne	V			49° 54' 43.66655'' N	17° 50' 24.52737'' E
P7825	odb. Moravice - Dolní Životice	7,57	Ne	H		k rybníku	49° 54' 35.27872'' N	17° 50' 09.66331'' E
P7826	odb. Moravice - Dolní Životice	8,084	Ne	O		v polích	49° 54' 24.74593'' N	17° 49' 50.42514'' E
P7827	odb. Moravice - Dolní Životice	8,742	Ne	H		před zast. Štáblovice	49° 54' 07.96461'' N	17° 49' 30.51786'' E
P7828	odb. Moravice - Dolní Životice	8,878	Ne	C		Štáblovice zastávka	49° 54' 04.66227'' N	17° 49' 25.80457'' E
P7829	odb. Moravice - Dolní Životice	9,057	Ne	O		za zast. Štáblovice	49° 54' 00.83130'' N	17° 49' 19.30485'' E
P7830	odb. Moravice - Dolní Životice	9,481	Ne	3L		lesní cesta	49° 53' 52.13252'' N	17° 49' 03.08260'' E
P7831	odb. Moravice - Dolní Životice	10,16	Ne	O		žlaby	49° 53' 40.38875'' N	17° 48' 35.01908'' E
P7832	odb. Moravice - Dolní Životice	10,78	Ne	O			49° 53' 35.005'' N	17° 48' 5.988'' E
P7833	odb. Moravice - Dolní Životice	11,446	Ne	O		polní před Životicema	49° 53' 42.98728'' N	17° 47' 36.58507'' E
P7834	odb. Moravice - Dolní Životice	12,083	Ne	III.	44332	Ulice Štáblovská Dolní Životic	49° 53' 42.11446'' N	17° 47' 05.06142'' E
P7835	odb. Moravice - Dolní Životice	12,512	Ne	C		Ulice Mlýnská Dolní Životice	49° 53' 45.56125'' N	17° 46' 44.94485'' E
P7836	odb. Moravice - Dolní Životice	12,767	Ne	C		Ulice Uličky Dolní Životice	49° 53' 43.04291'' N	17° 46' 32.17279'' E
P7837	odb. Moravice - Dolní Životice	12,867	Ne	C		Ul.Nádražní D.Životice zn.	49° 53' 42.05955'' N	17° 46' 27.68454'' E
P7838	Dolní Životice - Mladecko	13,413	Ne	O		polní za Životicema	49° 53' 36.29986'' N	17° 46' 01.49052'' E
P7839	Dolní Životice - Mladecko	13,985	Ne	2L		za stodolou	49° 53' 30.35583'' N	17° 45' 34.41878'' E
P7840	Dolní Životice - Mladecko	15,434	Ne	O		cyklotrasa	49° 53' 15.07327'' N	17° 44' 27.68752'' E
P7841	Dolní Životice - Mladecko	15,892	Ne	III.	44331	zn. Litultovice/Pilný Mlýn	49° 53' 14.55538'' N	17° 44' 04.46817'' E
P7842	Dolní Životice - Mladecko	15,996	Ne	O		za zast. Litultovice	49° 53' 15.49804'' N	17° 43' 59.60312'' E
P7843	Dolní Životice - Mladecko	17,051	Ne	C		prům. zona Mladecko zrcadlo	49° 53' 29.18599'' N	17° 43' 11.59205'' E
P7844	Dolní Životice - Mladecko	17,407	Ne	I.	46	Mladecko VUD	49° 53' 35.42788'' N	17° 42' 56.50130'' E
P7845	Dolní Životice - Mladecko	17,476	Ne	O		do kamenolomu Mladecko	49° 53' 36.79212'' N	17° 42' 53.78831'' E
P7846	Mladecko - Jakartovice	17,868	Ne	O		Na chaty v Mladecku	49° 53' 43.40026'' N	17° 42' 37.23427'' E
P7847	Mladecko - Jakartovice	18,117	Ne	III.	46016	U pošty Mladecko	49° 53' 49.31736'' N	17° 42' 28.62918'' E
P7848	Mladecko - Jakartovice	18,797	Ne	O			49° 54' 06.84494'' N	17° 42' 09.88857'' E
P7849	Mladecko - Jakartovice	19,102	Ne	O		Myčka	49° 54' 15.35037'' N	17° 42' 02.16482'' E
P7850	Mladecko - Jakartovice	19,579	Ne	III.	46022	Esíčko Mladecko - Jakartovice	49° 54' 30.23072'' N	17° 42' 04.18780'' E
P7851	Mladecko - Jakartovice	20,032	Ne	O		polní za Mladeckem	49° 54' 44.14877'' N	17° 41' 56.73579'' E
P7852	Mladecko - Jakartovice	20,407	Ne	O		polní před Jakartovicema	49° 54' 52.29215'' N	17° 41' 43.02126'' E
P7853	dD3 Jakartovice	20,792	Ne	II.	460	Jakartovice zn.	49° 55' 01.53569'' N	17° 41' 30.30376'' E
P7854	Jakartovice - Svobodné Heřmanice	21,45	Ne	O		polní za Jakartovicema	49° 55' 20.67272'' N	17° 41' 18.31433'' E
P7855	Jakartovice - Svobodné Heřmanice	21,745	Ne	O		polní	49° 55' 27.43117'' N	17° 41' 07.51507'' E
P7859	Jakartovice - Svobodné Heřmanice	23,424	Ne	O		lesní	49° 56' 05.72767'' N	17° 40' 12.80000'' E
P7860	Jakartovice - Svobodné Heřmanice	23,694	Ne	O			49° 56' 12.88562'' N	17° 40' 04.85829'' E
P7861	Jakartovice - Svobodné Heřmanice	24,446	Ne	O		polní šípková alej	49° 56' 23.77616'' N	17° 39' 31.64104'' E
P7863	žst. Kravaře ve Sl.	21,924	Ne	C		ulice Novodvorská Kravaře	49° 56' 07.66148'' N	18° 00' 14.56455'' E
P7864	Kravaře ve Sl. - Opava východ	22,075	Ne	C		ulice Lelkova Kravaře	49° 56' 07.94081'' N	18° 00' 07.02470'' E
P7865	Kravaře ve Sl. - Opava východ	23,695	Ne	O		k letišti	49° 56' 11.85891'' N	17° 58' 45.92951'' E
P7866	Kravaře ve Sl. - Opava východ	24,342	Ne	III.	468	Ul. Nádražní Velké Hoštice zn.	49° 56' 16.72062'' N	17° 58' 14.33981'' E
P7867	Kravaře ve Sl. - Opava východ	24,875	Ne	O		naproti elektrárny	49° 56' 20.90284'' N	17° 57' 48.43159'' E
P7868	Kravaře ve Sl. - Opava východ	25,272	Ne	I.	56	Malé - Velké Hoštice	49° 56' 17.44958'' N	17° 57' 29.83127'' E
P7869	Kravaře ve Sl. - Opava východ	26,334	Ne	O		Ulice Sportovní M.Hoštice	49° 55' 55.90283'' N	17° 56' 49.59425'' E
P7870	Kravaře ve Sl. - Opava východ	26,463	Ne	C		Ul. Slezská M.Hoštice zn.	49° 55' 55.91728'' N	17° 56' 43.14832'' E
P7871	Kravaře ve Sl. - Opava východ	27,441	Ne	III.	4642	Ulice Těšínská Opava	49° 55' 43.11087'' N	17° 55' 59.07940'' E
P7872	Kravaře ve Sl. - Opava východ	27,691	Ne	MK		Přechod pro pěší Ostroj	49° 55' 39.82071'' N	17° 55' 47.81118'' E
P7873	Chuchelná - Kravaře ve Sl.	20,67	Ne	II.	467	ul. Štěpánkovická Kravaře	49° 56' 14.709'' N	18° 1' 13.957'' E
P7873	Kravaře ve Sl. - Dolní Benešov	0,823	Ne	II.	467	ul. Štěpánkovická Kravaře	49° 56' 14.709'' N	18° 1' 13.957'' E
P7874	Kravaře ve Sl. - Dolní Benešov	1,883	Ne	O		Polní u hřbitova Kravaře	49° 56' 01.44573'' N	18° 01' 59.83206'' E
P7875	Kravaře ve Sl. - Dolní Benešov	2,331	Ne	III.	46824	Ulice Školní Kravaře Kouty zn.	49° 55' 52.80662'' N	18° 02' 17.98795'' E
P7876	Kravaře ve Sl. - Dolní Benešov	2,911	Ne	O			49° 55' 42.76713'' N	18° 02' 42.32459'' E
P7877	Kravaře ve Sl. - Dolní Benešov	3,34	Ne	O			49° 55' 41.15465'' N	18° 03' 03.48512'' E
P7878	Kravaře ve Sl. - Dolní Benešov	4,557	Ne	O			49° 55' 35.45671'' N	18° 04' 03.96120'' E
P7879	Kravaře ve Sl. - Dolní Benešov	5,398	Ne	O		polní před Zábřehem	49° 55' 29.38807'' N	18° 04' 45.00727'' E
P7880	Kravaře ve Sl. - Dolní Benešov	5,746	Ne	C		Ulice Nádražní Zábřeh zn.	49° 55' 26.81132'' N	18° 05' 02.47196'' E
P7881	Kravaře ve Sl. - Dolní Benešov	7,027	Ne	III.	4671	Ulice Bolatická Dolní Benešov	49° 55' 26.27063'' N	18° 06' 06.51172'' E
P7882	Kravaře ve Sl. - Dolní Benešov	7,209	Ne	C		Ulice Pod Moravcem D. Benešov	49° 55' 26.37833'' N	18° 06' 15.25381'' E
P7883	Kravaře ve Sl. - Dolní Benešov	7,426	Ne	O			49° 55' 26.47905'' N	18° 06' 26.16088'' E
P7884	Kravaře ve Sl. - Dolní Benešov	8,13	Ne	III.	46819	Ulice Nádražní Dolní Benešov	49° 55' 24.69499'' N	18° 07' 01.07870'' E
P7885	Dolní Benešov - Hlučín	10,127	Ne	I.	56	Kozmice	49° 55' 05.12052'' N	18° 08' 35.93105'' E
P7886	Chuchelná - Kravaře ve Sl.	12,052	Ne	O		1. polní za Chuchelnou	49° 59' 04.57877'' N	18° 06' 34.09760'' E
P7887	Chuchelná - Kravaře ve Sl.	12,439	Ne	O		2. polní za Chuchelnou	49° 58' 53.56439'' N	18° 06' 24.36619'' E
P7888	Chuchelná - Kravaře ve Sl.	12,83	Ne	2L		Bulenda	49° 58' 42.78965'' N	18° 06' 14.85512'' E
P7889	Chuchelná - Kravaře ve Sl.	14,436	Ne	3L		lesní cesta	49° 58' 08.51041'' N	18° 05' 17.73274'' E
P7890	Chuchelná - Kravaře ve Sl.	15,595	Ne	III.	4671	zn.Bolatice	49° 57' 49.38847'' N	18° 04' 27.31445'' E
P7891	Chuchelná - Kravaře ve Sl.	16,04	Ne	O			49° 57' 41.96548'' N	18° 04' 08.28743'' E
P7892	Chuchelná - Kravaře ve Sl.	16,287	Ne	O			49° 57' 37.78209'' N	18° 03' 57.63053'' E
P7893	Chuchelná - Kravaře ve Sl.	17,512	Ne	O		ul. Slezská Štepánkovice	49° 57' 20.86930'' N	18° 03' 02.29162'' E
